"id","user_age","user_gender","user_personality_type","user_parents_status","user_body_type","hair_length","unusual_hairstyle","appearance","unusual_appearance"
"143","0","1","2","0","6","0","1","4","1"
"144","0","1","5","0","3","0","1","4","1"
"145","0","1","4","0","2","0","1","4","1"
"146","39","2","6","0","2","0","1","4","1"
"147","40","1","16","0","0","0","1","4","1"
"148","0","1","7","0","3","0","1","4","1"
"149","0","1","3","0","0","0","1","4","1"
"150","0","2","7","0","0","4","1","4","1"
"151","29","1","7","0","0","6","1","4","1"
"152","0","2","6","0","2","4","0","0","0"
"153","0","2","3","0","2","0","1","4","1"
"154","0","1","7","0","2","6","0","4","1"
"155","0","1","3","0","4","0","1","4","1"
"156","0","1","7","0","0","0","0","4","0"
"157","0","2","13","0","0","0","1","0","0"
"158","19","2","7","0","0","0","1","4","1"
"159","0","1","5","0","10","0","1","4","1"
"160","0","1","7","0","0","0","1","4","1"
"161","0","1","7","0","0","0","1","4","1"
"162","18","1","7","0","2","0","1","4","1"
"163","0","1","7","0","8","0","1","0","1"
"164","18","2","10","0","6","4","0","4","1"
"165","26","1","3","1","3","0","1","4","1"
"166","0","1","7","0","2","0","1","0","1"
"167","0","1","7","0","0","0","1","4","1"
"168","0","1","6","0","0","0","1","4","1"
"169","0","2","7","0","0","0","1","4","1"
"170","18","2","7","1","6","0","1","4","1"
"171","0","1","7","0","6","0","1","4","0"
"172","0","1","7","0","0","0","1","4","1"
"173","0","1","3","0","0","0","1","4","1"
"174","40","1","6","0","3","0","1","4","1"
"175","21","2","14","1","7","4","1","4","1"
"176","34","1","11","3","3","0","1","4","0"
"177","20","1","7","2","3","0","1","4","1"
"178","0","1","7","0","0","0","1","4","1"
"179","0","1","7","0","3","0","1","4","1"
"180","0","1","13","0","6","0","1","4","1"
"181","31","1","6","0","2","0","1","4","0"
"182","30","1","16","1","6","0","1","4","1"
